store_id,store_name,postal_code,cookie
6489fd63-8229-4915-8676-3f1c35fae282,IGA des Sources Cap-Rouge,G3A0M2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI2NDg5ZmQ2My04MjI5LTQ5MTUtODY3Ni0zZjFjMzVmYWUyODIiLCJTdG9yZU51bWJlciI6IjE2NTg1IiwiU2NvcGVJZCI6IjE2NTg1IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03MS4zNzA5NzEsIkxhdGl0dWRlIjo0Ni43NjQ1NywiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4NTcyIiwiUG9zdGFsQ29kZSI6IkczQTBNMiIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
1b8422c5-253a-491f-beb5-ef1edceb9490,IGA Mullins,H3K1P2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI2YWJjOWM3Ni0zMjQzLTRhNjYtOWY0Zi05ZWFlNDQzNGIwZjMiLCJTdG9yZU51bWJlciI6IjE0NzUwIiwiU2NvcGVJZCI6IjE0NzUwIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41ODMyOTMsIkxhdGl0dWRlIjo0NS40Nzc1NDksIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDczMCIsIlBvc3RhbENvZGUiOiJINEMxUjEiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
7841993f-13df-4d69-99a8-b1954bd302a4,IGA Atwater,H3Z1X5,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI3ODQxOTkzZi0xM2RmLTRkNjktOTlhOC1iMTk1NGJkMzAyYTQiLCJTdG9yZU51bWJlciI6IjEwNTkzIiwiU2NvcGVJZCI6IjEwNTkzIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41ODUzMjQsIkxhdGl0dWRlIjo0NS40ODk1OTksIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODI1MyIsIlBvc3RhbENvZGUiOiJIM1oxWDUiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
b5e0a0e5-5d6a-4b7d-a7f1-0a5240c32d24,IGA Verdun Wellington,H4G1W7,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJiNWUwYTBlNS01ZDZhLTRiN2QtYTdmMS0wYTUyNDBjMzJkMjQiLCJTdG9yZU51bWJlciI6IjEwNTk4IiwiU2NvcGVJZCI6IjEwNTk4IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NjczOTgsIkxhdGl0dWRlIjo0NS40NTg5NDEsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODM2NiIsIlBvc3RhbENvZGUiOiJINEcxVzciLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
f4377c46-74ce-4b08-88e9-f8107a54dc36,IGA Gérard Champagne Ltée,H4G1G5,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJmNDM3N2M0Ni03NGNlLTRiMDgtODhlOS1mODEwN2E1NGRjMzYiLCJTdG9yZU51bWJlciI6IjEwNTk3IiwiU2NvcGVJZCI6IjEwNTk3IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NzYzNzksIkxhdGl0dWRlIjo0NS40NTUxMDksIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDQ4OSIsIlBvc3RhbENvZGUiOiJINEcxRzUiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
925bdaeb-1e87-40b3-abf3-4b432e1c9cd5,IGA Montreal Blv. Monk Champagne,H4E3J2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI5MjViZGFlYi0xZTg3LTQwYjMtYWJmMy00YjQzMmUxYzljZDUiLCJTdG9yZU51bWJlciI6IjEwNTk2IiwiU2NvcGVJZCI6IjEwNTk2IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41OTM3MDQsIkxhdGl0dWRlIjo0NS40NTIyOTMsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODIzNSIsIlBvc3RhbENvZGUiOiJINEUzSjIiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
8b43ce35-e496-46d0-87f6-cdc7f5c042e5,IGA Duke,H3C2M2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI4YjQzY2UzNS1lNDk2LTQ2ZDAtODdmNi1jZGM3ZjVjMDQyZTUiLCJTdG9yZU51bWJlciI6IjI0OTA0IiwiU2NvcGVJZCI6IjI0OTA0IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NTgyLCJMYXRpdHVkZSI6NDUuNDk3MiwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MDkzIiwiUG9zdGFsQ29kZSI6IkgzQzJNMiIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
461d3b4f-b770-4abc-8adb-d3ca318892ae,IGA Kraft Côte-St-Luc,H3X2C6,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiI0NjFkM2I0Zi1iNzcwLTRhYmMtOGFkYi1kM2NhMzE4ODkyYWUiLCJTdG9yZU51bWJlciI6IjI0NDI2IiwiU2NvcGVJZCI6IjI0NDI2IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42MjYyLCJMYXRpdHVkZSI6NDUuNDc5MywiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MDU3IiwiUG9zdGFsQ29kZSI6IkgzWDJDNiIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
cdec0803-ed62-48b0-8803-8d00207a7558,"IGA Complexe Desjardins, Montréal",H5B1B5,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJjZGVjMDgwMy1lZDYyLTQ4YjAtODgwMy04ZDAwMjA3YTc1NTgiLCJTdG9yZU51bWJlciI6IjEwNjAyIiwiU2NvcGVJZCI6IjEwNjAyIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NjQ0MTMsIkxhdGl0dWRlIjo0NS41MDc0NCwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MjE3IiwiUG9zdGFsQ29kZSI6Ikg1QjFCNSIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
029db1dc-98f4-4609-8cf8-58197ff43154,IGA Van Horne,H3W1J2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiIwMjlkYjFkYy05OGY0LTQ2MDktOGNmOC01ODE5N2ZmNDMxNTQiLCJTdG9yZU51bWJlciI6IjEwNTkyIiwiU2NvcGVJZCI6IjEwNTkyIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42MzkwNywiTGF0aXR1ZGUiOjQ1LjQ5MjY5NiwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4NTIyIiwiUG9zdGFsQ29kZSI6IkgzVzFKMiIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
02861c73-15ee-4b79-98e3-0de02c247152,IGA Place Dupuis,H2L2E4,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiIwMjg2MWM3My0xNWVlLTRiNzktOThlMy0wZGUwMmMyNDcxNTIiLCJTdG9yZU51bWJlciI6IjE2MjQ5IiwiU2NvcGVJZCI6IjE2MjQ5IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41NTg0NSwiTGF0aXR1ZGUiOjQ1LjUxNjA5NiwiQXJlVmFsaWQiOnRydWV9LCJDbGllbnROdW1iZXIiOiI4MjE5IiwiUG9zdGFsQ29kZSI6IkgyTDJFNCIsIlByZWNpc2lvbiI6MiwiSXNTZXJ2ZWRCeVZvaWxhIjp0cnVlfQ==
de59e331-2daa-4468-a0b4-a1b79ba4f655,IGA Lipari Côte-St-Luc,H4V1J2,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJkZTU5ZTMzMS0yZGFhLTQ0NjgtYTBiNC1hMWI3OWJhNGY2NTUiLCJTdG9yZU51bWJlciI6IjEwNjAwIiwiU2NvcGVJZCI6IjEwNjAwIiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My42NTM4ODUsIkxhdGl0dWRlIjo0NS40NjU0NzEsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiMDEwOCIsIlBvc3RhbENvZGUiOiJINFYxSjIiLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
b9d42940-c856-4c7d-a3b5-0055de1c557c,Marché Emily et Philip Desmarais,J4P2H7,eyJMb2NrZXJUeXBlIjowLCJMb2NrZXJNYXN0ZXJTdG9yZU51bWJlciI6IiIsIk1pbmltdW1PcmRlckFtb3VudCI6NDUsIlN0b3JlSWQiOiJiOWQ0Mjk0MC1jODU2LTRjN2QtYTNiNS0wMDU1ZGUxYzU1N2MiLCJTdG9yZU51bWJlciI6IjEwNzM1IiwiU2NvcGVJZCI6IjEwNzM1IiwiVGltZXpvbmVJbmZvSWQiOiJFYXN0ZXJuIFN0YW5kYXJkIFRpbWUiLCJMb2NhdGlvbiI6eyJMb25naXR1ZGUiOi03My41MTQzODEsIkxhdGl0dWRlIjo0NS41MDI0OTMsIkFyZVZhbGlkIjp0cnVlfSwiQ2xpZW50TnVtYmVyIjoiODIxMCIsIlBvc3RhbENvZGUiOiJKNFAySDciLCJQcmVjaXNpb24iOjIsIklzU2VydmVkQnlWb2lsYSI6dHJ1ZX0=
